Entered_By,QAQC_By,Region,Site,Survey_Date,Surveyor,Method,Vert_Transect_Number,Vert_Transect_Dist_m,GPS_Lat,GPS_Long,Rod_Height_Waterline_m,Surveyor_Hgt_m,Laser_to_Waterline_m,TH_at_Waterline_m,TH_Laser_Top,Rod_Height_Transect_Top,TH_Transect_Top_m,Notes
AA,RB,NorCal,Mendocino North,6/18/2022,CC,Laser,2,14,40.39692,-124.37944,NA,1.07,2.97,-0.43,2.54,0.76,1.78,
AA,RB,NorCal,Mendocino North,6/18/2022,CC,Laser,1,0,40.39679,-124.37943,NA,1.07,2.97,-0.43,2.54,1.03,1.51,
AA,RB,NorCal,Mendocino South,6/19/2022,"HW, CC",Laser,5,24,40.39530,-124.37622,NA,1.15,2.68,-0.14,2.54,1.36,1.18,
AA,RB,NorCal,Mendocino South,6/19/2022,"HW, CC",Laser,4,10,40.39521,-124.37615,NA,1.15,2.68,-0.14,2.54,0.57,1.97,
AA,RB,NorCal,Mendocino South,6/19/2022,"HW, CC",Laser,3,9,40.39520,-124.37614,NA,1.15,2.68,-0.14,2.54,0.6,1.94,
AA,RB,NorCal,Mendocino South,6/19/2022,"HW, CC",Laser,2,8,40.39521,-124.37611,NA,1.15,2.68,-0.14,2.54,0.94,1.6,
AA,RB,NorCal,Mendocino South,6/19/2022,"HW, CC",Laser,1,7,40.39520,-124.37611,NA,1.15,2.68,-0.14,2.54,1.25,1.29,
AA,RB,NorCal,Moat Creek,6/17/2022,CC,Laser,5,25,38.88115,-123.67848,NA,1.01,2.65,-0.28,2.37,0.46,1.91,
AA,RB,NorCal,Moat Creek,6/17/2022,CC,Laser,4,24,38.88120,-123.67846,NA,1.01,2.65,-0.28,2.37,0.41,1.96,
AA,RB,NorCal,Moat Creek,6/17/2022,CC,Laser,3,13,38.88124,-123.67833,NA,1.01,2.65,-0.28,2.37,0.6,1.77,
AA,RB,NorCal,Moat Creek,6/17/2022,CC,Laser,2,3,38.88128,-123.67823,NA,1.01,2.65,-0.28,2.37,0.57,1.8,
AA,RB,NorCal,Moat Creek,6/17/2022,CC,Laser,1,2,38.88130,-123.67824,NA,1.01,2.65,-0.28,2.37,0.49,1.88,
AA,RB,NorCal,Sea Ranch,6/16/2022,CC,Laser,5,25,38.72501,-123.47919,NA,0.93,4,-0.19,3.81,1.25,2.56,
AA,RB,NorCal,Sea Ranch,6/16/2022,CC,Laser,4,23,38.72485,-123.47928,NA,0.93,4,-0.19,3.81,1.36,2.45,
AA,RB,NorCal,Sea Ranch,6/16/2022,CC,Laser,3,20,38.72485,-123.47985,NA,0.93,4,-0.19,3.81,1.57,2.24,
AA,RB,NorCal,Sea Ranch,6/16/2022,CC,Laser,2,12,38.72479,-123.47926,NA,0.93,4,-0.19,3.81,1.1,2.71,
AA,RB,NorCal,Sea Ranch,6/16/2022,CC,Laser,1,6,38.72476,-123.47922,NA,0.93,4,-0.19,3.81,1.5,2.31,
AA,RB,NorCal,Dillon Beach,6/15/2022,"RB, HW",Sight,5,21,38.257394,-122.97101,NA,1.9,2.93,-0.02,2.91,1.97,0.94,"Forgot to collect GPS coordinates; Approx. coords. 38.2573940, -122.9710100"
AA,RB,NorCal,Dillon Beach,6/15/2022,"RB, HW",Sight,4,14,38.257394,-122.97101,NA,1.9,2.93,-0.02,2.91,0.98,1.93,"Forgot to collect GPS coordinates; Approx. coords. 38.2573940, -122.9710101"
AA,RB,NorCal,Dillon Beach,6/15/2022,"RB, HW",Sight,3,13,38.257394,-122.97101,NA,1.9,2.93,-0.02,2.91,1.1,1.81,"Forgot to collect GPS coordinates; Approx. coords. 38.2573940, -122.9710102"
AA,RB,NorCal,Dillon Beach,6/15/2022,"RB, HW",Sight,2,3,38.257394,-122.97101,NA,1.9,2.93,-0.02,2.91,0.83,2.08,"Forgot to collect GPS coordinates; Approx. coords. 38.2573940, -122.9710103"
AA,RB,NorCal,Dillon Beach,6/15/2022,"RB, HW",Sight,1,0,38.257394,-122.97101,NA,1.9,2.93,-0.02,2.91,0.96,1.95,All tops surveyed from central point. 
AA,RB,NorCal,Rancho Marino,6/14/2022,RB ,Sight,5,25,35.54068,-121.09288,3.38,1.74,3.38,-0.15,3.23,1.27,1.96,
AA,RB,NorCal,Rancho Marino,6/14/2022,RB ,Sight,4,19,35.54060,-121.09293,3.38,1.74,3.38,-0.15,3.23,1.4,1.83,
AA,RB,NorCal,Rancho Marino,6/14/2022,RB ,Sight,3,15,35.54061,-121.09294,3.38,1.74,3.38,-0.15,3.23,1.74,1.49,
AA,RB,NorCal,Rancho Marino,6/14/2022,RB ,Sight,2,7,35.54052,-121.09293,3.38,1.74,3.38,-0.15,3.23,1.46,1.77,
AA,RB,NorCal,Rancho Marino,6/14/2022,RB ,Sight,1,1,35.54045,-121.09292,3.38,1.74,3.38,-0.15,3.23,1.28,1.95,
AA,RB,NorCal,Mussel Rock,6/20/2022,"HW, CC",Laser,5,18,40.34743,-124.36451,NA,0.93,2.78,-0.02,2.76,1.27,1.49,
AA,RB,NorCal,Mussel Rock,6/20/2022,"HW, CC",Laser,4,13,40.34745,-124.36445,NA,0.93,2.78,-0.02,2.76,0.8,1.96,
AA,RB,NorCal,Mussel Rock,6/20/2022,"HW, CC",Laser,3,11,40.34747,-124.36443,NA,0.93,2.78,-0.02,2.76,0.92,1.84,
AA,RB,NorCal,Mussel Rock,6/20/2022,"HW, CC",Laser,2,10,40.34747,-124.36443,NA,0.93,2.78,-0.02,2.76,0.91,1.85,
AA,RB,NorCal,Mussel Rock,6/20/2022,"HW, CC",Laser,1,9,40.34738,-124.36430,NA,0.93,2.78,-0.02,2.76,0.95,1.81,
AA,RB,NorCal,Coal Oil,6/13/2022,RB,Laser,5,NA,NA,NA,NA,1.21,1.57,-0.12,1.45,NA,NA,"No community survey conducted, so no transect coordinates. Little elevational gradient/vert flat. Barnacles all at top of shore. Lots of anemones, mussels (big ones too). Easy access - talk to reserve manager + gate code"
AA,RB,NorCal,Coal Oil,6/13/2022,RB,Laser,4,NA,NA,NA,NA,1.21,1.57,-0.12,1.45,NA,NA,No community survey conducted
AA,RB,NorCal,Coal Oil,6/13/2022,RB,Laser,3,NA,NA,NA,NA,1.21,1.57,-0.12,1.45,NA,NA,No community survey conducted
AA,RB,NorCal,Coal Oil,6/13/2022,RB,Laser,2,NA,NA,NA,NA,1.21,1.57,-0.12,1.45,NA,NA,No community survey conducted
AA,RB,NorCal,Coal Oil,6/13/2022,RB,Laser,1,NA,NA,NA,NA,1.21,1.57,-0.12,1.45,NA,NA,No community survey conducted
RB,AA,SoCal,Little Corona,4/22/2022,"CC, JH",Laser,5,7,33.58894,-117.86845,NA,1.24,2.42,0.098,2.52,0.58,1.94,
RB,AA,SoCal,Little Corona,4/22/2022,"CC, JH",Laser,4,6,33.58900,-117.86841,NA,1.24,2.42,0.098,2.52,0.61,1.91,
RB,AA,SoCal,Little Corona,4/22/2022,"CC, JH",Laser,3,5,33.58898,-117.86843,NA,1.24,2.42,0.098,2.52,0.62,1.90,
RB,AA,SoCal,Little Corona,4/22/2022,"CC, JH",Laser,2,4,33.58898,-117.86839,NA,1.24,2.42,0.098,2.52,0.67,1.85,
RB,AA,SoCal,Little Corona,4/22/2022,"CC, JH",Laser,1,1,33.58895,-117.86839,NA,1.24,2.42,0.098,2.52,0.88,1.64,
RB,AA,SoCal,Crystal Cove,4/21/2022,HW,Laser,5,23,33.56867,-117.83586,NA,1.23,2.72,-0.08,2.64,1.67,0.97,
RB,AA,SoCal,Crystal Cove,4/21/2022,HW,Laser,4,22,33.56865,-117.83586,NA,1.23,2.72,-0.08,2.64,1.26,1.38,
RB,AA,SoCal,Crystal Cove,4/21/2022,HW,Laser,3,14,33.56862,-117.83578,NA,1.23,2.72,-0.08,2.64,1.24,1.40,
RB,AA,SoCal,Crystal Cove,4/21/2022,HW,Laser,2,8,33.56859,-117.83578,NA,1.23,2.72,-0.08,2.64,0.59,2.05,
RB,AA,SoCal,Crystal Cove,4/21/2022,HW,Laser,1,1,33.56859,-117.83569,NA,1.23,2.72,-0.08,2.64,1.24,1.40,
RB,AA,SoCal,Shaw's Cove,4/20/2022,"CC, JR",Laser,5,18,33.54472,-117.79973,NA,1.37,2.28,-0.19,2.09,0.81,1.28,
RB,AA,SoCal,Shaw's Cove,4/20/2022,"CC, JR",Laser,4,17,33.54475,-117.79972,NA,1.37,2.28,-0.19,2.09,0.87,1.22,
RB,AA,SoCal,Shaw's Cove,4/20/2022,"CC, JR",Laser,3,15,33.54475,-117.79971,NA,1.37,2.28,-0.19,2.09,1.08,1.01,
RB,AA,SoCal,Shaw's Cove,4/20/2022,"CC, JR",Laser,2,13,33.54473,-117.79971,NA,1.37,2.28,-0.19,2.09,0.73,1.36,
RB,AA,SoCal,Shaw's Cove,4/20/2022,"CC, JR",Laser,1,8,33.54477,-117.79966,NA,1.37,2.28,-0.19,2.09,0.76,1.33,
